Stock Number,Days,Year,Model,VIN,Trim,Model Code,Cylinders,Trans,Color,Color Code,MSRP,Invoice,E-Price,Model Code_Key,SKU,KBB AVAIL,KBB_HIGH,KBB_FAIR,KBB_LOW,Strategy,+/-,Color DS,BASE E-Price,Age Discount,DEMO Discount,Accessories,Accessories Cost,E-Price2,DC_CASH,DC_LEASE,DC_FINANCE,,
HM201615,117,2020,FIT,3HGGK5H82LM723934,EX,GK5H8LJW,4,AUTO,WX,BK,20015,19500.28,"$17,374",GK5H8LJW,GK5H8LJWWX/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,NO SALES,17499,125,0,-,0,"$17,374",500.0,0.0,0.0,,
HM201552,111,2020,HRV,3CZRU6H58LM730068,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201553,111,2020,HRV,3CZRU6H58LM730118,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201554,111,2020,HRV,3CZRU6H53LM730110,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201570,111,2020,HRV,3CZRU6H59LM726322,AWD EX,RU6H5LJW,4,AUTO,WY,GR,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWWY/GR,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201571,111,2020,HRV,3CZRU6H56LM729839,AWD EX,RU6H5LJW,4,AUTO,WY,GR,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWWY/GR,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201592,111,2020,HRV,3CZRU6H51LM731319,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201593,111,2020,HRV,3CZRU6H58LM731303,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201595,111,2020,HRV,3CZRU6H5XLM731366,AWD EX,RU6H5LJW,4,AUTO,SI,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWSI/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201597,111,2020,HRV,3CZRU6H57LM731308,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201600,111,2020,HRV,3CZRU6H53LM731323,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201602,111,2020,HRV,3CZRU6H54LM731296,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201603,111,2020,HRV,3CZRU6H5XLM731318,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201614,111,2020,FIT,3HGGK5H46LM724257,LX,GK5H4LEW,4,AUTO,BK,BK,17945,17494.33,"$15,400",GK5H4LEW,GK5H4LEWBK/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,240.00,15525,125,0,-,0,"$15,400",500.0,0.0,0.0,,
HM201620,111,2020,HRV,3CZRU6H55LM732263,AWD EX,RU6H5LJW,4,AUTO,RE,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWRE/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,90.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201652,111,2020,FIT,3HGGK5H84LM724664,EX,GK5H8LJW,4,AUTO,GY,BK,20015,19500.28,"$17,374",GK5H8LJW,GK5H8LJWGY/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,NO SALES,17499,125,0,-,0,"$17,374",500.0,0.0,0.0,,
HM201686,111,2020,HRV,3CZRU6H5XLM732484,AWD EX,RU6H5LJW,4,AUTO,BT,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBT/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,120.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201710,111,2020,FIT,3HGGK5H49LM724818,LX,GK5H4LEW,4,AUTO,BT,BK,17945,17494.33,"$15,400",GK5H4LEW,GK5H4LEWBT/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,NO SALES,15525,125,0,-,0,"$15,400",500.0,0.0,0.0,,
HM201842,111,2020,CIVIC,19XFC1F72LE021424,4D EXL-T,FC1F7LJNW,4,AUTO,BT,BK,26105,24313.87,"$23,378",FC1F7LJNW,FC1F7LJNWBT/BK,YES,25426,24464.5,23503.0,L,-1,NO SALES,23503.0,125,0,-,0,"$23,378",0.0,500.0,0.0,,
HM201846,111,2020,CIVIC,2HGFC2F69LH581895,4D LX,FC2F6LEW,4,AUTO,GY,BK,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWGY/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,180.00,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201872,111,2020,ACCORD,1HGCV1F46LA133313,4D EX-T,CV1F4LJW,4,AUTO,BK,BK,29025,26632.68,"$24,998",CV1F4LJW,CV1F4LJWBK/BK,YES,28106,26864.5,25623.0,L_Less_500,-1,60.00,25123,125,0,-,0,"$24,998",500.0,0.0,0.0,,
HM201586,110,2020,FIT,3HGGK5H8XLM722403,EX,GK5H8LJW,4,AUTO,RE,BK,20015,19500.28,"$17,374",GK5H8LJW,GK5H8LJWRE/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,300.00,17499,125,0,-,0,"$17,374",500.0,0.0,0.0,,
HM201929,105,2020,CIVICH,SHHFK7H30LU225955,LX,FK7H3LEW,4,AUTO,BK,BK,22705,21166.15,"$19,993",FK7H3LEW,FK7H3LEWBK/BK,YES,22039,21203.5,20368.0,L_LESS_250,1,60.00,20118,125,0,-,0,"$19,993",500.0,500.0,0.0,,
HM201903,104,2020,CIVIC,2HGFC2F62LH582807,4D LX,FC2F6LEW,4,AUTO,BI,GR,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWBI/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,240.00,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201904,104,2020,CIVIC,2HGFC2F67LH583029,4D LX,FC2F6LEW,4,AUTO,SI,BK,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWSI/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,90.00,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201907,100,2020,CIVIC,2HGFC2F67LH583967,4D LX,FC2F6LEW,4,AUTO,BI,GR,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWBI/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,240.00,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201908,100,2020,CIVIC,2HGFC2F60LH584426,4D LX,FC2F6LEW,4,AUTO,BT,BK,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWBT/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM210082,100,2021,ODYSSEY,5FNRL6H5XMB012469,EX,RL6H5MEXW,6,AUTO,BY,BN,36705,34293.52,"$32,768",RL6H5MEXW+,RL6H5MEXW+BY/BN,YES,35662,34277.5,32893.0,L,-3,120.00,32893.0,125,0,-,0,"$32,768",0.0,1000.0,0.0,,
HM201964S,100,2020,ACCORD,1HGCV1F16LA117960,4D LX-T,CV1F1LEW,4,AUTO,RX,IV,25225,23166.69,"$21,416",CV1F1LEW,CV1F1LEWRX/IV,YES,24200,23120.5,22041.0,L_Less_500,6,60.00,21541,125,0,-,0,"$21,416",500.0,0.0,0.0,,
HM201927,99,2020,CRV,2HKRW2H88LH681320,AWD EXL-T,RW2H8LJNW,4,AUTO,WY,IV,32770,30822.57,"$29,497",RW2H8LJNW,RW2H8LJNWWY/IV,YES,31931,30776.5,29622.0,L,3,30.00,29622.0,125,0,-,0,"$29,497",500.0,500.0,0.0,,
HM210085,99,2021,ODYSSEY,5FNRL6H78MB013833,EXL,RL6H7MJXW,6,AUTO,GY,BK,39580,36969.57,"$35,288",RL6H7MJXW,RL6H7MJXWGY/BK,YES,38402,36907.5,35413.0,L,0,NO SALES,35413.0,125,0,-,0,"$35,288",0.0,1000.0,0.0,,
HM201762,97,2020,FIT,3HGGK5H60LM726846,SPORT,GK5H6LEW,4,AUTO,OR,BK,19355,18860.7,"$16,813",GK5H6LEW,GK5H6LEWOR/BK,YES,19043,18490.5,17938.0,L_Less_1000,0,NO SALES,16938,125,0,-,0,"$16,813",500.0,0.0,0.0,,
HM201793,97,2020,HRV,3CZRU6H98LM734933,AWD TRG,RU6H9LKNW,4,AUTO,WX,BK,30110,29288.05,"$26,851",RU6H9LKNW,RU6H9LKNWWX/BK,YES,29725,28850.5,27976.0,L_Less_1000,2,NO SALES,26976,125,0,-,0,"$26,851",500.0,250.0,0.0,,
